42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,0001-01-01 00:00:00,0.00
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,2018-04-01 03:57:05,0.00
10,c-NIGER-2,NIGER-5,2,2018-04-01 03:57:06,0001-01-01 00:00:00,0.00
10,c-NIGER-2,NIGER-5,2,2018-04-01 03:57:06,2018-04-01 03:57:06,0.00
29,c-NIGER-7,NIGER-3,0,2018-04-01 03:57:07,0001-01-01 00:00:00,0.00
29,c-NIGER-7,NIGER-3,0,2018-04-01 03:57:07,2018-04-01 03:57:07,46953.33
24,c-NIGER-6,NIGER-4,1,2018-04-01 03:57:08,0001-01-01 00:00:00,0.00
24,c-NIGER-6,NIGER-4,1,2018-04-01 03:57:08,2018-04-01 03:57:08,19275.44
43,c-NIGER-11,EXT-0,1,2018-04-01 03:57:15,0001-01-01 00:00:00,0.00
43,c-NIGER-11,EXT-0,1,2018-04-01 03:57:15,2018-04-01 03:57:15,7654.30
7,c-NIGER-1,EXT-2,3,2018-04-01 03:57:18,0001-01-01 00:00:00,0.00
7,c-NIGER-1,EXT-2,3,2018-04-01 03:57:18,2018-04-01 03:57:18,40028.33
15,c-NIGER-3,NIGER-5,0,2018-04-01 03:57:18,0001-01-01 00:00:00,0.00
15,c-NIGER-3,NIGER-5,0,2018-04-01 03:57:18,2018-04-01 03:57:18,41987.59
25,c-NIGER-6,NIGER-6,0,2018-04-01 03:57:25,0001-01-01 00:00:00,0.00
25,c-NIGER-6,NIGER-6,0,2018-04-01 03:57:25,2018-04-01 03:57:25,28546.60
18,c-NIGER-4,NIGER-9,3,2018-04-01 03:57:30,0001-01-01 00:00:00,0.00
18,c-NIGER-4,NIGER-9,3,2018-04-01 03:57:30,2018-04-01 03:57:31,24793.64
0,c-NIGER-0,NIGER-7,0,2018-04-01 03:57:35,0001-01-01 00:00:00,0.00
0,c-NIGER-0,NIGER-7,0,2018-04-01 03:57:35,2018-04-01 03:57:35,7826.58
44,c-NIGER-11,EXT-0,0,2018-04-01 03:58:00,0001-01-01 00:00:00,0.00
44,c-NIGER-11,EXT-0,0,2018-04-01 03:58:00,2018-04-01 03:58:00,31158.52
11,c-NIGER-2,NIGER-3,0,2018-04-01 03:58:01,0001-01-01 00:00:00,0.00
11,c-NIGER-2,NIGER-3,0,2018-04-01 03:58:01,2018-04-01 03:58:01,50789.21
16,c-NIGER-3,NIGER-1,0,2018-04-01 03:58:04,0001-01-01 00:00:00,0.00
16,c-NIGER-3,NIGER-1,0,2018-04-01 03:58:04,2018-04-01 03:58:04,69755.93
33,c-NIGER-8,NIGER-1,3,2018-04-01 03:58:05,0001-01-01 00:00:00,0.00
33,c-NIGER-8,NIGER-1,3,2018-04-01 03:58:05,2018-04-01 03:58:05,38921.18
34,c-NIGER-8,NIGER-3,1,2018-04-01 03:58:10,0001-01-01 00:00:00,0.00
34,c-NIGER-8,NIGER-3,1,2018-04-01 03:58:10,2018-04-01 03:58:10,1998.01
45,c-NIGER-11,NIGER-8,0,2018-04-01 03:58:11,0001-01-01 00:00:00,0.00
45,c-NIGER-11,NIGER-8,0,2018-04-01 03:58:11,2018-04-01 03:58:11,35441.71
30,c-NIGER-7,NIGER-1,3,2018-04-01 03:58:14,0001-01-01 00:00:00,0.00
30,c-NIGER-7,NIGER-1,3,2018-04-01 03:58:14,2018-04-01 03:58:14,15293.52
39,c-NIGER-10,EXT-1,0,2018-04-01 03:58:17,0001-01-01 00:00:00,0.00
39,c-NIGER-10,EXT-1,0,2018-04-01 03:58:17,2018-04-01 03:58:17,53015.58
17,c-NIGER-3,NIGER-5,0,2018-04-01 03:58:29,0001-01-01 00:00:00,0.00
17,c-NIGER-3,NIGER-5,0,2018-04-01 03:58:29,2018-04-01 03:58:29,71686.34
40,c-NIGER-10,NIGER-1,0,2018-04-01 03:58:34,0001-01-01 00:00:00,0.00
40,c-NIGER-10,NIGER-1,0,2018-04-01 03:58:34,2018-04-01 03:58:34,4905.32
8,c-NIGER-1,NIGER-8,0,2018-04-01 03:58:41,0001-01-01 00:00:00,0.00
8,c-NIGER-1,NIGER-8,0,2018-04-01 03:58:41,2018-04-01 03:58:41,33963.87
12,c-NIGER-2,NIGER-5,0,2018-04-01 03:58:49,0001-01-01 00:00:00,0.00
12,c-NIGER-2,NIGER-5,0,2018-04-01 03:58:49,2018-04-01 03:58:49,33252.26
31,c-NIGER-7,EXT-3,0,2018-04-01 03:58:53,0001-01-01 00:00:00,0.00
31,c-NIGER-7,EXT-3,0,2018-04-01 03:58:53,2018-04-01 03:58:53,15784.28
1,c-NIGER-0,NIGER-4,3,2018-04-01 03:58:55,0001-01-01 00:00:00,0.00
1,c-NIGER-0,NIGER-4,3,2018-04-01 03:58:55,2018-04-01 03:58:55,31720.04
26,c-NIGER-6,NIGER-4,2,2018-04-01 03:59:06,0001-01-01 00:00:00,0.00
26,c-NIGER-6,NIGER-4,2,2018-04-01 03:59:06,2018-04-01 03:59:06,0.00
19,c-NIGER-4,NIGER-9,0,2018-04-01 03:59:06,0001-01-01 00:00:00,0.00
13,c-NIGER-2,NIGER-1,1,2018-04-01 03:59:06,0001-01-01 00:00:00,0.00
19,c-NIGER-4,NIGER-9,0,2018-04-01 03:59:06,2018-04-01 03:59:06,32525.77
13,c-NIGER-2,NIGER-1,1,2018-04-01 03:59:06,2018-04-01 03:59:06,10340.09
2,c-NIGER-0,NIGER-4,3,2018-04-01 03:59:09,0001-01-01 00:00:00,0.00
2,c-NIGER-0,NIGER-4,3,2018-04-01 03:59:09,2018-04-01 03:59:09,41458.94
35,c-NIGER-9,NIGER-8,0,2018-04-01 03:59:13,0001-01-01 00:00:00,0.00
35,c-NIGER-9,NIGER-8,0,2018-04-01 03:59:13,2018-04-01 03:59:13,64643.52
