test,approach,answer,time
30-0.02-1c,1c-1f,1,19.79
30-0.02-1c,1c-1f,2,19.96
30-0.02-1c,1c-1f,3,20.98
30-0.02-1c,1c-1f,4,24.63
30-0.02-1c,1c-1f,5,49.37
30-0.02-1c,1c-1f,6,53.97
30-0.02-1c,1c-1f,7,67.30
30-0.02-1c,1c-1f,8,69.79
30-0.02-1c,1c-1f,9,82.80
30-0.02-1c,1c-1f,10,98.05
30-0.02-1c,1c-1f,11,103.93
30-0.02-1c,1c-1f,12,118.49
30-0.02-1c,1c-1f,13,123.43
30-0.02-1c,1c-1f,14,128.16
30-0.02-1c,1c-1f,15,138.42
30-0.02-1c,1c-1f,16,150.10
30-0.02-1c,1c-1f,17,155.05
30-0.02-1c,1c-1f,18,156.28
30-0.02-1c,1c-1f,19,157.71
30-0.02-1c,1c-1f,20,177.42
30-0.02-1c,1c-1f,21,184.01
30-0.02-1c,1c-1f,22,189.74
30-0.02-1c,1c-1f,23,190.96
30-0.02-1c,1c-1f,24,193.18
30-0.02-1c,1c-1f,25,195.14
30-0.02-1c,1c-1f,26,202.61
30-0.02-1c,1c-1f,27,204.85
30-0.02-1c,1c-1f,28,207.02
30-0.02-1c,1c-1f,29,211.64
30-0.02-1c,1c-1f,30,213.62
30-0.02-1c,1c-1f,31,223.82
30-0.02-1c,1c-1f,32,250.45
30-0.02-1c,1c-1f,33,250.84
30-0.02-1c,1c-1f,34,264.38
30-0.02-1c,1c-1f,35,266.54
30-0.02-1c,1c-1f,36,270.39
30-0.02-1c,1c-1f,37,275.23
30-0.02-1c,1c-1f,38,280.42
30-0.02-1c,1c-1f,39,282.46
30-0.02-1c,1c-1f,40,284.64
30-0.02-1c,1c-1f,41,298.56
30-0.02-1c,1c-1f,42,317.75
30-0.02-1c,1c-1f,43,330.94
30-0.02-1c,1c-1f,44,354.38
30-0.02-1c,1c-1f,45,358.32
30-0.02-1c,1c-1f,46,371.42
30-0.02-1c,1c-1f,47,382.04
30-0.02-1c,1c-1f,48,386.71
30-0.02-1c,1c-1f,49,418.97
30-0.02-1c,1c-1f,50,422.12
30-0.02-1c,1c-1f,51,424.20
30-0.02-1c,1c-1f,52,425.85
30-0.02-1c,1c-1f,53,430.41
30-0.02-1c,1c-1f,54,439.37
30-0.02-1c,1c-1f,55,461.89
30-0.02-1c,1c-1f,56,462.73
